"","date","count"
"1","2007-01-01",933
"2","2007-01-02",484
"3","2007-01-03",473
"4","2007-01-04",495
"5","2007-01-05",545
"6","2007-01-06",486
"7","2007-01-07",453
"8","2007-01-08",450
"9","2007-01-09",467
"10","2007-01-10",498
"11","2007-01-11",468
"12","2007-01-12",540
"13","2007-01-13",492
"14","2007-01-14",518
"15","2007-01-15",449
"16","2007-01-16",459
"17","2007-01-17",490
"18","2007-01-18",477
"19","2007-01-19",548
"20","2007-01-20",569
"21","2007-01-21",492
"22","2007-01-22",439
"23","2007-01-23",485
"24","2007-01-24",474
"25","2007-01-25",488
"26","2007-01-26",608
"27","2007-01-27",608
"28","2007-01-28",479
"29","2007-01-29",436
"30","2007-01-30",477
"31","2007-01-31",489
"32","2007-02-01",649
"33","2007-02-02",672
"34","2007-02-03",604
"35","2007-02-04",475
"36","2007-02-05",516
"37","2007-02-06",491
"38","2007-02-07",559
"39","2007-02-08",484
"40","2007-02-09",650
"41","2007-02-10",514
"42","2007-02-11",442
"43","2007-02-12",491
"44","2007-02-13",464
"45","2007-02-14",512
"46","2007-02-15",526
"47","2007-02-16",559
"48","2007-02-17",701
"49","2007-02-18",494
"50","2007-02-19",433
"51","2007-02-20",500
"52","2007-02-21",534
"53","2007-02-22",489
"54","2007-02-23",565
"55","2007-02-24",555
"56","2007-02-25",506
"57","2007-02-26",525
"58","2007-02-27",473
"59","2007-02-28",513
"60","2007-03-01",601
"61","2007-03-02",589
"62","2007-03-03",544
"63","2007-03-04",497
"64","2007-03-05",533
"65","2007-03-06",536
"66","2007-03-07",531
"67","2007-03-08",484
"68","2007-03-09",599
"69","2007-03-10",532
"70","2007-03-11",467
"71","2007-03-12",498
"72","2007-03-13",466
"73","2007-03-14",501
"74","2007-03-15",552
"75","2007-03-16",614
"76","2007-03-17",641
"77","2007-03-18",522
"78","2007-03-19",485
"79","2007-03-20",499
"80","2007-03-21",501
"81","2007-03-22",507
"82","2007-03-23",638
"83","2007-03-24",529
"84","2007-03-25",508
"85","2007-03-26",519
"86","2007-03-27",454
"87","2007-03-28",452
"88","2007-03-29",529
"89","2007-03-30",585
"90","2007-03-31",535
"91","2007-04-01",634
"92","2007-04-02",463
"93","2007-04-03",514
"94","2007-04-04",473
"95","2007-04-05",472
"96","2007-04-06",609
"97","2007-04-07",583
"98","2007-04-08",428
"99","2007-04-09",457
"100","2007-04-10",458
"101","2007-04-11",512
"102","2007-04-12",445
"103","2007-04-13",594
"104","2007-04-14",540
"105","2007-04-15",473
"106","2007-04-16",461
"107","2007-04-17",474
"108","2007-04-18",485
"109","2007-04-19",461
"110","2007-04-20",576
"111","2007-04-21",566
"112","2007-04-22",487
"113","2007-04-23",495
"114","2007-04-24",514
"115","2007-04-25",562
"116","2007-04-26",527
"117","2007-04-27",663
"118","2007-04-28",597
"119","2007-04-29",480
"120","2007-04-30",506
"121","2007-05-01",624
"122","2007-05-02",532
"123","2007-05-03",504
"124","2007-05-04",656
"125","2007-05-05",612
"126","2007-05-06",557
"127","2007-05-07",512
"128","2007-05-08",488
"129","2007-05-09",538
"130","2007-05-10",534
"131","2007-05-11",671
"132","2007-05-12",606
"133","2007-05-13",546
"134","2007-05-14",547
"135","2007-05-15",560
"136","2007-05-16",506
"137","2007-05-17",521
"138","2007-05-18",714
"139","2007-05-19",595
"140","2007-05-20",526
"141","2007-05-21",500
"142","2007-05-22",515
"143","2007-05-23",432
