"","dow","hour","nbrhood","count"
"1",0,0,"NONE",5659
"2",0,0,"SanADM",19
"3",0,0,"SanALL",28
"4",0,0,"SanALT",3
"5",0,0,"SanAZL",7
"6",0,0,"SanBAH",21
"7",0,0,"SanBAL",8
"8",0,0,"SanBAP",34
"9",0,0,"SanBAR",34
"10",0,0,"SanBAT",34
"11",0,0,"SanBIR",15
"12",0,0,"SanBLA",11
"13",0,0,"SanBOR",8
"14",0,0,"SanBRO",2
"15",0,0,"SanBUR",1
"16",0,0,"SanCAE",16
"17",0,0,"SanCAL",57
"18",0,0,"SanCAR",55
"19",0,0,"SanCAS",25
"20",0,0,"SanCHE",30
"21",0,0,"SanCHL",11
"22",0,0,"SanCHO",11
"23",0,0,"SanCLL",42
"24",0,0,"SanCLN",59
"25",0,0,"SanCLR",8
"26",0,0,"SanCOE",62
"27",0,0,"SanCOR",152
"28",0,0,"SanCRR",36
"29",0,0,"SanCRT",27
"30",0,0,"SanDLC",20
"31",0,0,"SanDLM",16
"32",0,0,"SanEAN",43
"33",0,0,"SanEAS",125
"34",0,0,"SanEGG",21
"35",0,0,"SanELC",24
"36",0,0,"SanEMR",8
"37",0,0,"SanFAI",5
"38",0,0,"SanFOX",4
"39",0,0,"SanFRM",21
"40",0,0,"SanGAS",321
"41",0,0,"SanGOL",34
"42",0,0,"SanGRA",46
"43",0,0,"SanGRN",16
"44",0,0,"SanHAR",6
"45",0,0,"SanHIL",87
"46",0,0,"SanHOR",13
"47",0,0,"SanIDW",52
"48",0,0,"SanISL",1
"49",0,0,"SanISS",25
"50",0,0,"SanJAM",19
"51",0,0,"SanKEN",20
"52",0,0,"SanKER",56
"53",0,0,"SanLAJ",83
"54",0,0,"SanLAK",34
"55",0,0,"SanLAP",13
"56",0,0,"SanLIN",68
"57",0,0,"SanLIT",10
"58",0,0,"SanLNC",24
"59",0,0,"SanLOG",59
"60",0,0,"SanLOM",10
"61",0,0,"SanMAR",56
"62",0,0,"SanMDT",20
"63",0,0,"SanMIA",17
"64",0,0,"SanMIR",128
"65",0,0,"SanMIS",26
"66",0,0,"SanMON",67
"67",0,0,"SanMOR",24
"68",0,0,"SanMRM",14
"69",0,0,"SanMSB",3
"70",0,0,"SanMSH",86
"71",0,0,"SanMST",21
"72",0,0,"SanMTO",23
"73",0,0,"SanNES",24
"74",0,0,"SanNOA",35
"75",0,0,"SanNOR",9
"76",0,0,"SanNRM",38
"77",0,0,"SanNRT",197
"78",0,0,"SanNUV",73
"79",0,0,"SanOCN",129
"80",0,0,"SanOEC",17
"81",0,0,"SanOKP",47
"82",0,0,"SanOOL",16
"83",0,0,"SanOTM",14
"84",0,0,"SanPAL",15
