"","dow","hour","nbrhood","year","count"
"1",0,0,"NONE",2012,784
"2",0,0,"SanADM",2012,4
"3",0,0,"SanALL",2012,4
"4",0,0,"SanAZL",2012,2
"5",0,0,"SanBAH",2012,2
"6",0,0,"SanBAP",2012,7
"7",0,0,"SanBAR",2012,2
"8",0,0,"SanBAT",2012,8
"9",0,0,"SanBIR",2012,4
"10",0,0,"SanBLA",2012,4
"11",0,0,"SanCAE",2012,2
"12",0,0,"SanCAL",2012,12
"13",0,0,"SanCAR",2012,11
"14",0,0,"SanCAS",2012,4
"15",0,0,"SanCHE",2012,4
"16",0,0,"SanCHL",2012,3
"17",0,0,"SanCHO",2012,1
"18",0,0,"SanCLL",2012,16
"19",0,0,"SanCLN",2012,7
"20",0,0,"SanCOE",2012,13
"21",0,0,"SanCOR",2012,14
"22",0,0,"SanCRR",2012,7
"23",0,0,"SanCRT",2012,6
"24",0,0,"SanDLC",2012,4
"25",0,0,"SanDLM",2012,5
"26",0,0,"SanEAN",2012,6
"27",0,0,"SanEAS",2012,24
"28",0,0,"SanEGG",2012,3
"29",0,0,"SanELC",2012,6
"30",0,0,"SanFRM",2012,3
"31",0,0,"SanGAS",2012,39
"32",0,0,"SanGOL",2012,3
"33",0,0,"SanGRA",2012,10
"34",0,0,"SanGRN",2012,5
"35",0,0,"SanHIL",2012,15
"36",0,0,"SanHOR",2012,2
"37",0,0,"SanIDW",2012,6
"38",0,0,"SanISS",2012,7
"39",0,0,"SanJAM",2012,2
"40",0,0,"SanKEN",2012,4
"41",0,0,"SanKER",2012,9
"42",0,0,"SanLAJ",2012,14
"43",0,0,"SanLAK",2012,7
"44",0,0,"SanLIN",2012,11
"45",0,0,"SanLIT",2012,2
"46",0,0,"SanLOG",2012,11
"47",0,0,"SanLOM",2012,1
"48",0,0,"SanMAR",2012,8
"49",0,0,"SanMDT",2012,5
"50",0,0,"SanMIA",2012,3
"51",0,0,"SanMIR",2012,26
"52",0,0,"SanMIS",2012,7
"53",0,0,"SanMON",2012,8
"54",0,0,"SanMOR",2012,5
"55",0,0,"SanMRM",2012,3
"56",0,0,"SanMSH",2012,11
"57",0,0,"SanMST",2012,4
"58",0,0,"SanMTO",2012,1
"59",0,0,"SanNES",2012,2
"60",0,0,"SanNOA",2012,9
"61",0,0,"SanNRM",2012,7
"62",0,0,"SanNRT",2012,28
"63",0,0,"SanNUV",2012,9
"64",0,0,"SanOCN",2012,18
"65",0,0,"SanOEC",2012,3
"66",0,0,"SanOKP",2012,4
"67",0,0,"SanOOL",2012,7
"68",0,0,"SanOTM",2012,2
"69",0,0,"SanPAL",2012,3
"70",0,0,"SanPAR",2012,9
"71",0,0,"SanPCF",2012,74
"72",0,0,"SanPET",2012,3
"73",0,0,"SanPON",2012,9
"74",0,0,"SanPRK",2012,3
"75",0,0,"SanRAN",2012,11
"76",0,0,"SanRAO",2012,1
"77",0,0,"SanRED",2012,3
"78",0,0,"SanRID",2012,2
"79",0,0,"SanRNC",2012,7
"80",0,0,"SanROL",2012,8
"81",0,0,"SanROS",2012,2
"82",0,0,"SanSAB",2012,4
"83",0,0,"SanSCR",2012,6
"84",0,0,"SanSER",2012,6
"85",0,0,"SanSHE",2012,1
"86",0,0,"SanSHR",2012,3
"87",0,0,"SanSKL",2012,4
"88",0,0,"SanSNC",2012,4
"89",0,0,"SanSNS",2012,6
"90",0,0,"SanSOR",2012,4
"91",0,0,"SanSOU",2012,2
"92",0,0,"SanSSI",2012,7
"93",0,0,"SanSTH",2012,2
"94",0,0,"SanSUN",2012,1
"95",0,0,"SanTAL",2012,2
"96",0,0,"SanTER",2012,6
"97",0,0,"SanTIR",2012,6
"98",0,0,"SanTOM",2012,6
"99",0,0,"SanTRL",2012,7
"100",0,0,"SanTRR",2012,1
"101",0,0,"SanUIN",2012,14
"102",0,0,"SanVAL",2012,5
"103",0,1,"NONE",2012,629
"104",0,1,"SanADM",2012,2
"105",0,1,"SanALL",2012,4
"106",0,1,"SanAZL",2012,2
"107",0,1,"SanBAH",2012,2
"108",0,1,"SanBAL",2012,1
"109",0,1,"SanBAP",2012,9
"110",0,1,"SanBAR",2012,2
"111",0,1,"SanBAT",2012,7
"112",0,1,"SanBIR",2012,3
"113",0,1,"SanBLA",2012,1
"114",0,1,"SanBOR",2012,2
"115",0,1,"SanBUR",2012,1
"116",0,1,"SanCAE",2012,1
"117",0,1,"SanCAL",2012,2
"118",0,1,"SanCAR",2012,3
"119",0,1,"SanCAS",2012,2
"120",0,1,"SanCHE",2012,2
"121",0,1,"SanCHL",2012,3
"122",0,1,"SanCHO",2012,1
"123",0,1,"SanCLL",2012,8
"124",0,1,"SanCLN",2012,6
"125",0,1,"SanCLR",2012,4
"126",0,1,"SanCOE",2012,14
"127",0,1,"SanCOR",2012,19
"128",0,1,"SanCRR",2012,5
"129",0,1,"SanCRT",2012,3
"130",0,1,"SanDLC",2012,1
"131",0,1,"SanDLM",2012,2
"132",0,1,"SanEAN",2012,1
"133",0,1,"SanEAS",2012,28
"134",0,1,"SanEGG",2012,2
"135",0,1,"SanELC",2012,2
"136",0,1,"SanEMR",2012,1
"137",0,1,"SanFAI",2012,2
"138",0,1,"SanFOX",2012,1
"139",0,1,"SanFRM",2012,4
"140",0,1,"SanGAS",2012,68
"141",0,1,"SanGOL",2012,2
"142",0,1,"SanGRA",2012,4
"143",0,1,"SanGRN",2012,4
"144",0,1,"SanHIL",2012,20
"145",0,1,"SanHOR",2012,2
"146",0,1,"SanIDW",2012,10
"147",0,1,"SanISS",2012,2
"148",0,1,"SanJAM",2012,2
"149",0,1,"SanKEN",2012,3
"150",0,1,"SanKER",2012,2
"151",0,1,"SanLAJ",2012,11
