"","dow","hour","count"
"1",0,0,10281
"2",0,1,8593
"3",0,2,7211
"4",0,3,4372
"5",0,4,2831
"6",0,5,1813
"7",0,6,1610
"8",0,7,2143
"9",0,8,3436
"10",0,9,3371
"11",0,10,4019
"12",0,11,4086
"13",0,12,6918
"14",0,13,4883
"15",0,14,5380
"16",0,15,6355
"17",0,16,6840
"18",0,17,7650
"19",0,18,7468
"20",0,19,7205
"21",0,20,7448
"22",0,21,7549
"23",0,22,7715
"24",0,23,6647
"25",1,0,8164
"26",1,1,4253
"27",1,2,3648
"28",1,3,2350
"29",1,4,1644
"30",1,5,1551
"31",1,6,2182
"32",1,7,3678
"33",1,8,5408
"34",1,9,4724
"35",1,10,5079
"36",1,11,4749
"37",1,12,8654
"38",1,13,5123
"39",1,14,5818
"40",1,15,6793
"41",1,16,7202
"42",1,17,8017
"43",1,18,8033
"44",1,19,7248
"45",1,20,7475
"46",1,21,7267
"47",1,22,7464
"48",1,23,6224
"49",2,0,7257
"50",2,1,3942
"51",2,2,3382
"52",2,3,2171
"53",2,4,1549
"54",2,5,1518
"55",2,6,2184
"56",2,7,3934
"57",2,8,5343
"58",2,9,4656
"59",2,10,5158
"60",2,11,5075
"61",2,12,8617
"62",2,13,5454
"63",2,14,6172
"64",2,15,6985
"65",2,16,7144
"66",2,17,8094
"67",2,18,8320
"68",2,19,7709
"69",2,20,7744
"70",2,21,7545
"71",2,22,7700
"72",2,23,6431
"73",3,0,7224
"74",3,1,3905
"75",3,2,3305
"76",3,3,2088
"77",3,4,1516
"78",3,5,1456
"79",3,6,2186
"80",3,7,3859
"81",3,8,5352
"82",3,9,4566
"83",3,10,5148
"84",3,11,5111
"85",3,12,8785
"86",3,13,5665
"87",3,14,6305
"88",3,15,7236
"89",3,16,7432
"90",3,17,8274
"91",3,18,8382
"92",3,19,8078
"93",3,20,8000
"94",3,21,7932
"95",3,22,8010
"96",3,23,6815
"97",4,0,7864
"98",4,1,4409
"99",4,2,3719
"100",4,3,2262
"101",4,4,1566
"102",4,5,1445
"103",4,6,2240
"104",4,7,3778
"105",4,8,5296
"106",4,9,4714
"107",4,10,5264
"108",4,11,4973
"109",4,12,8473
"110",4,13,5574
"111",4,14,6161
"112",4,15,6950
"113",4,16,7367
"114",4,17,8154
"115",4,18,8354
"116",4,19,7993
"117",4,20,8361
"118",4,21,8263
"119",4,22,8686
"120",4,23,7473
"121",5,0,8750
"122",5,1,5505
"123",5,2,4704
"124",5,3,2868
"125",5,4,1884
"126",5,5,1521
"127",5,6,2226
"128",5,7,3791
"129",5,8,5269
"130",5,9,4630
"131",5,10,5364
"132",5,11,5245
"133",5,12,9082
"134",5,13,6039
"135",5,14,6849
"136",5,15,8603
"137",5,16,8868
"138",5,17,10404
"139",5,18,10158
"140",5,19,9456
"141",5,20,9756
"142",5,21,9993
"143",5,22,11294
"144",5,23,10669
"145",6,0,11061
"146",6,1,8968
"147",6,2,7579
"148",6,3,4579
"149",6,4,2880
"150",6,5,1825
"151",6,6,1886
"152",6,7,2593
"153",6,8,4018
"154",6,9,3825
"155",6,10,4642
"156",6,11,4726
"157",6,12,7796
"158",6,13,5310
"159",6,14,5996
"160",6,15,6989
"161",6,16,7634
"162",6,17,8228
"163",6,18,8733
"164",6,19,8175
"165",6,20,8765
"166",6,21,9194
"167",6,22,10411
"168",6,23,10093
